Rank,Name,Platform,Year,Genre,Publisher,,,,,,,,
1,Wii Sports,Wii,2006,Sports,Nintendo,,,,,,,,
2,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo,,,,,,,,
3,Animal Crossing: New Horizons,NS,2020,Simulation,Nintendo,,,,,,,,
4,Super Mario Bros.,NES,1985,Platform,Nintendo,,,,,,,,
5,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve,,,,,,,,
6,Mario Kart Wii,Wii,2008,Racing,Nintendo,,,,,,,,
7,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation,,,,,,,,
8,Minecraft,PC,2010,Misc,Mojang,,,,,,,,
9,Wii Sports Resort,Wii,2009,Sports,Nintendo,,,,,,,,
10,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,,,,,,,,
11,Pok?on Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo,,,,,,,,
12,New Super Mario Bros.,DS,2006,Platform,Nintendo,,,,,,,,
13,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo,,,,,,,,
14,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,,,,,,,,
15,Tetris,GB,1989,Puzzle,Nintendo,,,,,,,,
16,Duck Hunt,NES,1985,Shooter,Nintendo,,,,,,,,
17,Wii Play,Wii,2007,Misc,Nintendo,,,,,,,,
18,Super Mario Odyssey,NS,2017,Platform,Nintendo,,,,,,,,
19,Pok?on Sword / Shield,NS,2019,Role-Playing,Nintendo,,,,,,,,
20,Nintendogs,DS,2005,Simulation,Nintendo,,,,,,,,
21,Mario Kart DS,DS,2005,Racing,Nintendo,,,,,,,,
22,Pok?on Gold / Silver Version,GB,2000,Role-Playing,Nintendo,,,,,,,,
23,Terraria,PC,2011,Platform,Re-Logic,,,,,,,,
24,Wii Fit,Wii,2008,Sports,Nintendo,,,,,,,,
25,Pok?on Scarlet / Violet,NS,2022,Role-Playing,Nintendo,,,,,,,,
26,Wii Fit Plus,Wii,2009,Sports,Nintendo,,,,,,,,
27,Super Mario World,SNES,1991,Platform,Nintendo,,,,,,,,
28,Grand Theft Auto V,PS3,2013,Action,Rockstar Games,,,,,,,,
29,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,,,,,,,,
30,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment,,,,,,,,
31,Grand Theft Auto V,PS4,2014,Action,Rockstar Games,,,,,,,,
32,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo,,,,,,,,
33,Mario Kart 7,3DS,2011,Racing,Nintendo,,,,,,,,
34,The Legend of Zelda: Tears of the Kingdom,NS,2023,Action-Adventure,Nintendo,,,,,,,,
35,Super Mario Land,GB,1989,Platform,Nintendo,,,,,,,,
36,Pok?on Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo,,,,,,,,
37,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games,,,,,,,,
38,Super Mario Bros. 3,NES,1990,Platform,Nintendo,,,,,,,,
39,Garry's Mod,PC,2006,Misc,Valve,,,,,,,,
40,Pok?on X/Y,3DS,2013,Role-Playing,Nintendo,,,,,,,,
41,Pok?on Sun/Moon,3DS,2016,Role-Playing,Nintendo,,,,,,,,
42,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment,,,,,,,,
43,Pok?on Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo,,,,,,,,
44,New Super Mario Bros. U Deluxe,NS,2019,Platform,Nintendo,,,,,,,,
45,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games,,,,,,,,
46,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Warner Bros. Interactive Entertainment,,,,,,,,
47,Grand Theft Auto V,X360,2013,Action,Rockstar Games,,,,,,,,
48,Pok?on Black / White Version,DS,2011,Role-Playing,Nintendo,,,,,,,,
49,Ring Fit Adventure,NS,2019,Misc,Nintendo,,,,,,,,
50,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,,,,,,,
51,"Pok?on: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo,,,,,,,,
52,Counter-Strike: Source,PC,2004,Shooter,VU Games,,,,,,,,
53,Sonic the Hedgehog,GEN,1991,Platform,Sega,,,,,,,,
54,Pok?on Brilliant Diamond / Shining Pearl,NS,2021,Role-Playing,Nintendo,,,,,,,,
55,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,,,,,,,,
56,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo,,,,,,,,
57,Pok?on Legends: Arceus,NS,2022,Role-Playing,Nintendo,,,,,,,,
58,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,,,,,,,,
59,Call of Duty: Black Ops,X360,2010,Shooter,Activision,,,,,,,,
60,Pok?on Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo,,,,,,,,
61,Pok?on Omega Ruby/Pok?on Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,,,,,,,
62,Halo 3,X360,2007,Shooter,Microsoft Game Studios,,,,,,,,
63,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games,,,,,,,,
64,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,,,,,,,,
65,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,,,,,,,,
66,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,,,,,,,,
67,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,,,,,,,,
68,Call of Duty: WWII,PS4,2017,Shooter,Activision,,,,,,,,
69,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,,,,,,,,
70,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,,,,,,,,
71,Splatoon 2,NS,2017,Shooter,Nintendo,,,,,,,,
72,Grand Theft Auto III,PS2,2001,Action,Rockstar Games,,,,,,,,
73,Portal 2,PC,2011,Shooter,Valve,,,,,,,,
74,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo,,,,,,,,
75,Minecraft,X360,2013,Misc,Microsoft Studios,,,,,,,,
76,Stardew Valley,PC,2016,Simulation,Chucklefish,,,,,,,,
77,Super Mario 3D Land,3DS,2011,Platform,Nintendo,,,,,,,,
78,Luigi's Mansion 3,NS,2019,Action-Adventure,Nintendo,,,,,,,,
79,Super Mario Galaxy,Wii,2007,Platform,Nintendo,,,,,,,,
80,Pok?on Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo,,,,,,,,
81,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,,,,,,,,
82,Grand Theft Auto V,PC,2015,Action,Rockstar Games,,,,,,,,
83,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Warner Bros. Interactive Entertainment,,,,,,,,
84,Diablo III,PC,2012,Role-Playing,Blizzard Entertainment,,,,,,,,
85,Half-Life 2,PC,2004,Shooter,VU Games,,,,,,,,
86,Pok?on FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo,,,,,,,,
87,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,,,,,,,,
88,Super Mario 64,N64,1996,Platform,Nintendo,,,,,,,,
89,FIFA 18,PS4,2017,Sports,EA Sports,,,,,,,,
90,The Last of Us Remastered,PS4,2014,Action-Adventure,Sony Computer Entertainment,,,,,,,,
91,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment,,,,,,,,
92,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,,,,,,,,
93,Super Mario 3D World + Bowser's Fury,NS,2021,Platform,Nintendo,,,,,,,,
94,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo,,,,,,,,
95,Grand Theft Auto IV,X360,2008,Action,Rockstar Games,,,,,,,,
96,Super Mario 64 DS,DS,2004,Platform,Nintendo,,,,,,,,
97,Super Mario 64 DS,DS,2004,Platform,Nintendo,,,,,,,,
98,StarCraft,PC,1998,Strategy,Blizzard Entertainment,,,,,,,,
99,FIFA 17,PS4,2016,Sports,Electronic Arts,,,,,,,,
100,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment,,,,,,,,
101,Splatoon 3,NS,2022,Shooter,Nintendo,,,,,,,,
102,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,,,,,,,,
103,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games,,,,,,,,
104,Super Mario All-Stars,SNES,1993,Platform,Nintendo,,,,,,,,
105,Call of Duty: Ghosts,X360,2013,Shooter,Activision,,,,,,,,
106,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,,,,,,,,
107,Horizon: Zero Dawn,PS4,2017,Action-Adventure,Sony Interactive Entertainment,,,,,,,,
108,Just Dance 2,Wii,2010,Misc,Ubisoft,,,,,,,,
109,Just Dance 3,Wii,2011,Misc,Ubisoft,,,,,,,,
110,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,,,,,,,,
111,The Last of Us Part II,PS4,2020,Action,Sony Interactive Entertainment,,,,,,,,
112,Valheim,PC,2021,Action-Adventure,Coffee Stain Publishing,,,,,,,,
113,Portal,PC,2008,Shooter,Valve Corporation,,,,,,,,
114,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,,,,,,,,
115,Halo 4,X360,2012,Shooter,Microsoft Studios,,,,,,,,
116,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,,,,,,,,
117,Mario Kart 64,N64,1997,Racing,Nintendo,,,,,,,,
118,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo,,,,,,,,
119,Nintendo Switch Sports,NS,2022,Sports,Nintendo,,,,,,,,
120,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,,,,,,,,
121,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,,,,,,,,
122,Wii Party,Wii,2010,Misc,Nintendo,,,,,,,,
123,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,,,,,,,,
124,Mario Party DS,DS,2007,Misc,Nintendo,,,,,,,,
125,Donkey Kong Country,SNES,1994,Platform,Nintendo,,,,,,,,
126,Half-Life,PC,1998,Shooter,Sierra Entertainment,,,,,,,,
127,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,,,,,,,,
128,Pok?on: Ultra Sun and Ultra Moon,3DS,2017,Role-Playing,Nintendo,,,,,,,,
129,FIFA 19,PS4,2018,Sports,Electronic Arts,,,,,,,,
130,Super Mario 3D All-Stars,NS,2020,Platform,Nintendo,,,,,,,,
131,Rust,PC,2018,Action-Adventure,Facepunch Studios,,,,,,,,
132,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,,,,,,,,
133,Mario Party 8,Wii,2007,Misc,Nintendo,,,,,,,,
134,Super Mario Kart,SNES,1992,Racing,Nintendo,,,,,,,,
135,Grand Theft Auto V,XOne,2014,Action,Rockstar Games,,,,,,,,
136,Final Fantasy VIII,PS,1999,Role-Playing,Square EA,,,,,,,,
137,Final Fantasy X,PS2,2001,Role-Playing,Square,,,,,,,,
138,Pok?on Black 2 and White 2,DS,2012,Role-Playing,Nintendo,,,,,,,,
139,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,,,,,,,,
140,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,,,,,,,,
141,Mario Kart 8,WiiU,2014,Racing,Nintendo,,,,,,,,
142,Tekken 3,PS,1998,Fighting,Namco,,,,,,,,
143,FIFA 16,PS4,2015,Sports,EA Sports,,,,,,,,
144,The Last of Us,PS3,2013,Action-Adventure,Sony Computer Entertainment America,,,,,,,,
145,GoldenEye 007,N64,1997,Shooter,Nintendo,,,,,,,,
146,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,,,,,,,,
147,FIFA 13,PS3,2012,Sports,EA Sports,,,,,,,,
148,Ghost of Tsushima,PS4,2020,Action-Adventure,Sony Interactive Entertainment,,,,,,,,
149,Halo 2,XB,2004,Shooter,Microsoft Game Studios,,,,,,,,
150,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,,,,,,,,
151,Sid Meier's Civilization V,PC,2010,Strategy,2K Games,,,,,,,,
152,The Sims 3,PC,2009,Simulation,Electronic Arts,,,,,,,,
153,Super Mario Maker 2,NS,2019,Platform,Nintendo,,,,,,,,
154,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games,,,,,,,,
155,Monster Hunter Rise,NS,2021,Action-Adventure,Capcom,,,,,,,,
156,Pac-Man,2600,1982,Puzzle,Atari,,,,,,,,
157,Cyberpunk 2077,PC,2020,Action-Adventure,CD Projekt Red Studio,,,,,,,,
158,God of War III,PS3,2010,Action,Sony Computer Entertainment,,,,,,,,
159,Pok?on Platinum Version,DS,2009,Role-Playing,Nintendo,,,,,,,,
160,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo,,,,,,,,
161,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,,,,,,,,
162,Call of Duty: World at War,X360,2008,Shooter,Activision,,,,,,,,
163,Super Mario Bros. 2,NES,1988,Platform,Nintendo,,,,,,,,
164,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,,,,,,,,
165,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,,,,,,,,
166,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,,,,,,,,
167,Battlefield 3,X360,2011,Shooter,Electronic Arts,,,,,,,,
168,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo,,,,,,,,
169,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo,,,,,,,,
170,Battlefield 1,PS4,2016,Shooter,Electronic Arts,,,,,,,,
171,Battlefield 3,PS3,2011,Shooter,Electronic Arts,,,,,,,,
172,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,,,,,,,,
173,The Binding of Isaac,PC,2011,Action,Edmund McMillen,,,,,,,,
174,Pok?on Emerald Version,GBA,2005,Role-Playing,Nintendo,,,,,,,,
175,Guild Wars 2,PC,2012,Role-Playing,NCSoft,,,,,,,,
176,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami,,,,,,,,
177,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,,,,,,,,
178,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,,,,,,,,
179,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,,,,,,,,
180,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,,,,,,,,
181,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,,,,,,,,
182,Tomodachi Life,3DS,2014,Simulation,Nintendo,,,,,,,,
183,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,,,,,,,,
184,FIFA Soccer 12,PS3,2011,Sports,EA Sports,,,,,,,,
185,FIFA 14,PS3,2013,Sports,EA Sports,,,,,,,,
186,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,,,,,,,,
187,Red Dead Redemption,PS3,2011,Action,Rockstar Games,,,,,,,,
188,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,,,,,,,,
189,The Legend of Zelda,NES,1987,Adventure,Nintendo,,,,,,,,
190,Guild Wars,PC,2005,Role-Playing,NCSoft,,,,,,,,
191,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft,,,,,,,,
192,Red Dead Redemption,X360,2010,Action,Rockstar Games,,,,,,,,
193,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,,,,,,,,
194,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo,,,,,,,,
195,Kirby and the Forgotten Land,NS,2022,Platform,Nintendo,,,,,,,,
196,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,,,,,,,,
197,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Adventure,Nintendo,,,,,,,,
198,Pok?on Crystal Version,GBC,2001,Role-Playing,Nintendo,,,,,,,,
199,Minecraft,PS4,2014,Misc,Sony Computer Entertainment,,,,,,,,
200,FIFA 15,PS4,2014,Sports,EA Sports,,,,,,,,
201,Kingdom Hearts,PS2,2002,Role-Playing,Square EA,,,,,,,,
202,Myst,PC,1995,Adventure,Broderbund,,,,,,,,
203,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,,,,,,,,
204,Driver,PS,1999,Action,GT Interactive,,,,,,,,
205,Call of Duty: WWII,XOne,2017,Shooter,Activision,,,,,,,,
206,Big Brain Academy,DS,2006,Misc,Nintendo,,,,,,,,
207,The Legend of Zelda: Link's Awakening,NS,2019,Action-Adventure,Nintendo,,,,,,,,
208,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America,,,,,,,,
209,Just Dance,Wii,2009,Misc,Ubisoft,,,,,,,,
210,Metal Gear Solid,PS,1998,Action,Konami,,,,,,,,
211,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami,,,,,,,,
212,Project Gotham Racing,XB,2001,Racing,Microsoft,,,,,,,,
213,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,,,,,,,,
214,StarCraft II: Wings of Liberty,PC,2010,Strategy,Blizzard Entertainment,,,,,,,,
215,Tekken 5,PS2,2005,Fighting,Namco,,,,,,,,
216,Euro Truck Simulator 2,PC,2013,Simulation,SCS Software,,,,,,,,
217,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,,,,,,,,
218,Super Mario Sunshine,GC,2002,Platform,Nintendo,,,,,,,,
219,Super Mario 3D World,WiiU,2013,Platform,Nintendo,,,,,,,,
220,Age of Empires II: HD Edition,PC,2013,Strategy,Microsoft Studios,,,,,,,,
221,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,,,,,,,,
222,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,,,,,,,,
223,Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games,,,,,,,,
224,Destiny,PS4,2014,Shooter,Activision,,,,,,,,
225,Tekken 2,PS,1996,Fighting,Namco,,,,,,,,
226,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,,,,,,,,
227,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,,,,,,,,
228,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo,,,,,,,,
229,Cooking Mama,DS,2006,Simulation,Majesco,,,,,,,,
230,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,,,,,,,,
231,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Action-Adventure,Nintendo,,,,,,,,
232,Tetris,NES,1989,Puzzle,Nintendo,,,,,,,,
233,Super Mario Advance,GBA,2001,Platform,Nintendo,,,,,,,,
234,Assassin's Creed II,PS3,2009,Action,Ubisoft,,,,,,,,
235,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,,,,
236,Assassin's Creed,X360,2007,Action,Ubisoft,,,,,,,,
237,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive,,,,,,,,
238,Arma III,PC,2013,Shooter,Bohemia Interactive,,,,,,,,
239,Detroit: Become Human,PS4,2018,Adventure,Sony Interactive Entertainment,,,,,,,,
240,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Role-Playing,Nintendo,,,,,,,,
241,Final Fantasy IX,PS,2000,Role-Playing,Square,,,,,,,,
242,Final Fantasy X-2,PS2,2003,Role-Playing,Square Enix,,,,,,,,
243,Tomb Raider (2013),PC,2013,Action,Square Enix,,,,,,,,
244,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,,,,,,,,
245,Pok?on Stadium,N64,2000,Strategy,Nintendo,,,,,,,,
246,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Platform,Nintendo,,,,,,,,
247,Call of Duty: World at War,PS3,2008,Shooter,Activision,,,,,,,,
248,Minecraft,XOne,2014,Misc,Microsoft Studios,,,,,,,,
249,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,,,,,,,,
250,Super Smash Bros. for Wii U,WiiU,2014,Fighting,Nintendo,,,,,,,,
251,Gran Turismo 5 Prologue,PS3,2008,Racing,Sony Computer Entertainment,,,,,,,,
252,Final Fantasy XIII,PS3,2010,Role-Playing,Square Enix,,,,,,,,
253,Dr. Mario,GB,1990,Puzzle,Nintendo,,,,,,,,
254,Pok?on Pinball,GBC,1999,Misc,Nintendo,,,,,,,,
255,Assassin's Creed III,X360,2012,Action-Adventure,Ubisoft,,,,,,,,
256,The Forest,PC,2014,Simulation,Endnight Games Ltd,,,,,,,,
257,Assassin's Creed II,X360,2009,Action,Ubisoft,,,,,,,,
258,Donkey Kong 64,N64,1999,Platform,Nintendo,,,,,,,,
259,Tomb Raider II,PS,1997,Adventure,Eidos Interactive,,,,,,,,
260,Madden NFL 2004,PS2,2003,Sports,EA Sports,,,,,,,,
261,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,,,,,,,,
262,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment America,,,,,,,,
263,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,,,,,,,,
264,Kingdom Hearts II,PS2,2006,Role-Playing,Square Enix,,,,,,,,
265,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,,,,,,,,
266,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,,,,,,,,
267,Kirby's Dream Land,GB,1992,Platform,Nintendo,,,,,,,,
268,Battlefield 1,XOne,2016,Shooter,Electronic Arts,,,,,,,,
269,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,,,,,,,,
270,Guitar Hero II,PS2,2006,Misc,RedOctane,,,,,,,,
271,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft,,,,,,,,
272,FIFA 13,X360,2012,Sports,EA Sports,,,,,,,,
273,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,,,,,,,,
274,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,,,,,,,,
275,Resident Evil 5,PS3,2009,Action,Capcom,,,,,,,,
276,FIFA Soccer 11,PS3,2010,Sports,EA Sports,,,,,,,,
277,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Rockstar Games,,,,,,,,
278,Super Mario Bros. Deluxe,GB,1999,Platform,Nintendo,,,,,,,,
279,Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,,,,,,,,
280,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,,,,,,,,
281,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,,,,,,,,
282,Warzone 2100,PS,1999,Strategy,Eidos Interactive,,,,,,,,
283,Cities: Skylines,PC,2015,Simulation,Paradox Interactive,,,,,,,,
284,Final Fantasy VII Remake,PS4,2020,Role-Playing,Square Enix,,,,,,,,
285,Gears of War,X360,2006,Shooter,Microsoft Game Studios,,,,,,,,
286,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,,,,,,,,
287,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Studios,,,,,,,,
288,Halo: Combat Evolved,XB,2001,Shooter,Microsoft,,,,,,,,
289,Killing Floor,PC,2009,Shooter,Tripwire Interactive,,,,,,,,
290,Sea of Thieves,PC,2018,Action-Adventure,Microsoft Studios,,,,,,,,
291,SimCity 3000,PC,1998,Simulation,Electronic Arts,,,,,,,,
292,Guitar Hero III: Legends of Rock,PS2,2007,Misc,RedOctane,,,,,,,,
293,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,,,,,,,,
294,Resident Evil 2,PS,1998,Action,Capcom,,,,,,,,
295,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,,,,,,,,
296,Splatoon,WiiU,2015,Shooter,Nintendo,,,,,,,,
297,Madden NFL 06,PS2,2005,Sports,EA Sports,,,,,,,,
298,Dragon Quest VIII: Journey of the Cursed King,PS2,2005,Role-Playing,Square Enix,,,,,,,,
299,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,,,,,,,,
300,Diddy Kong Racing,N64,1997,Racing,Nintendo,,,,,,,,
301,Pok?on Mystery Dungeon: Explorers of Time / Darkness,DS,2008,Role-Playing,Nintendo,,,,,,,,
302,Dr. Mario,NES,1990,Puzzle,Nintendo,,,,,,,,
303,Call of Duty: Black Ops IIII,XOne,2018,Shooter,Activision,,,,,,,,
304,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,,,,,,,,
305,Assassin's Creed,PS3,2007,Action,Ubisoft,,,,,,,,
306,Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision,,,,,,,,
307,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,,,,,,,,
308,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,,,,,,,,
309,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,,,,,,,,
310,The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,Nintendo,,,,,,,,
311,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive,,,,,,,,
312,Driver 2,PS,2000,Action,Atari,,,,,,,,
313,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Warner Bros. Interactive Entertainment,,,,,,,,
314,The Simpsons: Hit & Run,PS2,2003,Racing,VU Games,,,,,,,,
315,Nintendogs + cats,3DS,2011,Simulation,Nintendo,,,,,,,,
316,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,,,,,,,,
317,Gran Turismo,PSP,2009,Racing,Sony Computer Entertainment,,,,,,,,
318,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,,,,,,,,
319,Tomb Raider,PS,1996,Action,Eidos Interactive,,,,,,,,
320,God of War,PS2,2005,Action,Sony Computer Entertainment,,,,,,,,
321,The Legend of Zelda: A Link to the Past,SNES,1992,Adventure,Nintendo,,,,,,,,
322,Left 4 Dead,PC,2008,Shooter,Valve Corporation,,,,,,,,
323,Forza Motorsport 4,X360,2011,Racing,Microsoft Studios,,,,,,,,
324,Guitar Hero III: Legends of Rock,Wii,2007,Misc,RedOctane,,,,,,,,
325,BioShock Infinite,PC,2013,Shooter,2K Games,,,,,,,,
326,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,,,,,,,,
327,FIFA 15,PS3,2014,Sports,EA Sports,,,,,,,,
328,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,,,,,,,,
329,Overwatch,PS4,2016,Shooter,Blizzard Entertainment,,,,,,,,
330,Guitar Hero III: Legends of Rock,X360,2007,Misc,RedOctane,,,,,,,,
331,Madden NFL 2005,PS2,2004,Sports,EA Sports,,,,,,,,
332,Star Wars Battlefront II (2017),PS4,2017,Shooter,Electronic Arts,,,,,,,,
333,Dead Island,PC,2011,Action,Deep Silver,,,,,,,,
334,Arma 2: Operation Arrowhead,PC,2010,Shooter,Meridian4,,,,,,,,
335,ARK: Survival Evolved,PC,2015,Action-Adventure,Studio Wildcard,,,,,,,,
336,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,,,,,,,,
337,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,,,,,,,,
338,Warcraft III: Reign of Chaos,PC,2002,Strategy,Blizzard Entertainment,,,,,,,,
339,Professor Layton and the Curious Village,DS,2008,Adventure,Nintendo,,,,,,,,
340,Spider-Man: The Movie,PS2,2002,Action,Activision,,,,,,,,
341,The Elder Scrolls IV: Oblivion,X360,2009,Role-Playing,Take-Two Interactive,,,,,,,,
342,The Legend of Zelda: The Wind Waker,GC,2003,Adventure,Nintendo,,,,,,,,
343,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,,,,,,,,
344,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007,Sports,Konami,,,,,,,,
